#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
381358:9683,05/28/24 18:58:02,3,3,0.000643621,0.000455269
381364:9684,05/28/24 21:34:05,382,382,0.166766207,0.155763654
381365:9684,05/29/24 00:22:44,595,595,0.272032982,0.254549629
381371:9686,05/29/24 06:46:06,194,194,0.079068585,0.074841393
381379:9687,05/29/24 10:50:00,833,833,0.375679298,0.350270414
381380:9687,05/29/24 16:17:34,1354,1354,0.411026631,0.398051423
381384:9691,05/30/24 05:24:04,3482,3482,1.047219727,1.003791187
381417:9694,05/31/24 13:50:23,1788,1788,0.713134575,0.675451268
381443:9696,06/01/24 12:16:15,1517,1517,0.620722355,0.587004433
381477:9700,06/02/24 11:50:04,278,278,0.116849585,0.110046666
381479:9700,06/02/24 13:58:03,434,434,0.204504526,0.191926418
381480:9700,06/02/24 16:48:38,1268,1268,0.419249073,0.403416463
381484:9701,06/03/24 03:15:04,820,820,0.374195444,0.349895653
381499:9705,06/03/24 16:18:24,196,195,0.079129243,0.073385101
381500:9705,06/03/24 17:37:39,92,92,0.043431846,0.039486604
381515:9707,06/03/24 22:01:00,514,514,0.232288512,0.213977058
381516:9707,06/04/24 01:22:53,1672,1672,0.584339399,0.556022778
381543:9708,06/04/24 14:37:55,512,512,0.235680806,0.221277706
381544:9708,06/04/24 18:12:43,1970,1970,0.638592833,0.614665462
382229:9806,06/20/24 09:39:20,313,313,0.024005971,0.022671261
382250:9808,06/20/24 16:24:45,890,890,0.224867350,0.215259687
382255:9810,06/21/24 04:47:31,97,97,0.030850582,0.028324787
382256:9810,06/21/24 05:26:51,67,67,0.031184020,0.027662524
382257:9810,06/21/24 06:11:04,70,70,0.032581297,0.029028122
382258:9810,06/21/24 06:41:16,1148,1147,0.500480884,0.479563173
382262:9810,06/21/24 14:31:56,253,253,0.079528721,0.076706921
382298:9812,06/21/24 19:39:36,53,53,0.014819054,0.014301652
382299:9812,06/21/24 20:38:11,808,808,0.385782161,0.356402352
382300:9812,06/22/24 01:55:26,1186,1186,0.383863057,0.371886154
382313:9813,06/22/24 11:50:52,389,389,0.174823068,0.166462369
382314:9813,06/22/24 14:26:01,295,295,0.141770816,0.134388475
382328:9816,06/22/24 22:38:19,90,90,0.034044938,0.031049599
382329:9816,06/22/24 23:16:38,150,150,0.072058046,0.067790752
382343:9819,06/23/24 13:01:16,2208,2208,0.987462989,0.930649443
382344:9819,06/24/24 03:22:08,355,355,0.129242766,0.124753402
382504:9832,06/27/24 14:22:09,349,349,0.152199034,0.144103336
382568:9838,06/28/24 23:55:16,406,406,0.180278708,0.169846637
382580:9840,06/29/24 07:43:50,1711,1711,0.715948133,0.682358278
382594:9842,06/30/24 02:29:05,1406,1406,0.621031853,0.591226943
382595:9842,06/30/24 11:37:12,854,854,0.256700683,0.248816036
382617:9843,06/30/24 19:33:03,701,701,0.305486275,0.291525750
382626:9846,07/01/24 07:24:48,359,359,0.161094620,0.151890989
382649:9848,07/01/24 14:36:50,482,482,0.217554376,0.198646374
382650:9848,07/01/24 17:47:17,234,234,0.113407987,0.107561022
382654:9849,07/01/24 21:54:59,1641,1641,0.744738253,0.700965484
382655:9849,07/02/24 08:36:08,394,394,0.127167076,0.122715377
